THEME,TITLE,ARTIST,YEAR,SPOTIFY_URL
Love,The Look of Love,ABC,1982,http://open.spotify.com/track/78j3qTBdzcIiT3eS7XymoD
Love,The Shining,Badly Drawn Boy,2000,http://open.spotify.com/track/2PojSoZ94AIzp7fsz6wtMt
Love,God Only Knows,The Beach Boys,1966,http://open.spotify.com/track/0ObrXLrfrqJUNc8RfmIBHP
Love,Good Vibrations,The Beach Boys,1966,http://open.spotify.com/track/2oF7FZHIJbzjeEXZ3D0Ku4
Love,Wouldn’t It Be Nice,The Beach Boys,1966,http://open.spotify.com/track/0cx32rX0uZvcJUP92Wkj2y
Love,Eight Days a Week,The Beatles,1964,
Love,Girl,The Beatles,1965,
Love,I Want to Hold Your Hand,The Beatles,1963,
Love,She Loves You,The Beatles,1963,
Love,Something,The Beatles,1969,
Love,With a Little Help from My Friends,The Beatles,1967,
Love,Song for Whoever,The Beautiful South,1989,http://open.spotify.com/track/7k00fu054zyIgHEpkq5rBL
Love,How Deep is Your Love?,The Bee Gees,1977,http://open.spotify.com/track/1gIKd24bixkgYzuxse32oR
Love,Sweet Little Sixteen,Chuck Berry,1958,http://open.spotify.com/track/1fDfWFb1YmdRWu5JZ9yANo
Love,Crazy in Love,Beyoncé,2003,http://open.spotify.com/track/5IVuqXILoxVWvWEPm82Jxr
Love,Thirteen,Big Star,1972,
Love,I’ll Take Care of You,Bobby “Blue” Bland,1959,http://open.spotify.com/track/5vUitXO0fTxxS293NR51jA
Love,Heroes,David Bowie,1977,http://open.spotify.com/track/1qyRX6xXvsmbxR6FEnVSv2
Love,The Wedding Song,David Bowie,1993,http://open.spotify.com/track/0PUmT62MdJwmVf4sUjbHFW
Love,Sit Down I Think I Love You,Buffalo Springfield,1966,http://open.spotify.com/track/70dh9SQ7pcNLn7QE5dbIiX
Love,Everybody Needs Somebody to Love,Solomon Burke,1964,http://open.spotify.com/track/66GhKP6S6KqYMHR7xtGPoX
Love,Mehbooba Mehbooba,R D Burman,1975,
Love,Hounds of Love,Kate Bush,1985,
Love,The Man With the Child in His Eyes,Kate Bush,1978,http://open.spotify.com/track/4xjVfArXNQRxAvsUpjmfMt
Love,The Man I Love,Kate Bush,1994,
Love,Love Me Forever,Carlton and the Shoes,1968,
Love,The Dark End of the Street,James Carr,1967,
Love,I Walk the Line,Johnny Cash,1956,http://open.spotify.com/track/7wJepIHVDC88KzSyzNU1mA
Love,Deanna,Nick Cave and the Bad Seeds,1988,http://open.spotify.com/track/0XWoG02DaQES7ATCrbjx8D
Love,I Got a Woman,Ray Charles,1954,http://open.spotify.com/track/2xar08Fq5xra2KKZs5Bw9j
Love,Stoned Out of My Mind,The Chi-Lites,1973,http://open.spotify.com/track/3R35ltXFfFzAk5cCAKgZF8
Love,That’s How Long,The Chi-Lites,1974,
Love,Stay Free,The Clash,1978,
Love,Private Number,Judy Clay and William Bell,1968,http://open.spotify.com/track/5AdCyD1APnK7Drt81MDciC
Love,Yellow,Coldplay,2000,http://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
Love,Do You Love Me?,The Contours,1962,http://open.spotify.com/track/1nalk6Yqn0vRg8iiYlfeYd
Love,Cupid,Sam Cooke,1961,http://open.spotify.com/track/37ublgs2E1IIASg1it0v3t
Love,I’m in the Mood Again,Elvis Costello,2003,http://open.spotify.com/track/5HWC5PWLas7xQsjQPoeDpo
Love,Jack of All Parades,Elvis Costello and the Attractions,1986,
Love,Then He Kissed Me,The Crystals,1963,http://open.spotify.com/track/6OoJfmP08PBCLic4JBztsJ
Love,Friday I’m in Love,The Cure,1992,http://open.spotify.com/track/6TaVUwd1GxmOcR337FZM75
Love,Pour Some Sugar on Me,Def Leppard,1987,
Love,Born to Be With You,Dion,1975,
Love,A Teenager in Love,Dion & the Belmonts,1960,http://open.spotify.com/track/17iHLt9yQLLeBN3g1woXzB
Love,Blueberry Hill,Fats Domino,1956,http://open.spotify.com/track/25CTJ7xIrrWTHNtA7mq8Y6
Love,Girl from the North Country ,Bob Dylan,1963,http://open.spotify.com/track/4OfkpX0bONH3eSHQilGDnA
Love,Visions of Johanna,Bob Dylan,1966,http://open.spotify.com/track/0D0fyyNszdh2FZeUoiHJx1
Love,Wedding Song,Bob Dylan,1974,http://open.spotify.com/track/6O5MMLdfCMSohn7uvSLXqS
Love,One Day Like This,Elbow,2008,http://open.spotify.com/track/6PS9nzG6GUSPbD2A1xGWbm
Love,Let’s Stick Together,Bryan Ferry,1976,http://open.spotify.com/track/47KlEDyoBmF5ulJu6qmcHo
Love,Ev’ry Time We Say Goodbye,Ella Fitzgerald,1956,http://open.spotify.com/track/50KK7LxalUrWPtZxlhBJhn
Love,Killing Me Softly With His Song,Roberta Flack,1973,http://open.spotify.com/track/60SJRvzXJnVeVfS4RiH14u
Love,I Never Loved a Man (The Way I Love You),Aretha Franklin,1967,http://open.spotify.com/track/0FE39WU0AcIcXdkMK0fxkr
Love,I Say A Little Prayer,Aretha Franklin,1968,http://open.spotify.com/track/6bBwFPgVdWxuc4uWEyALCa
Love,The Power of Love,Frankie Goes to Hollywood,1984,http://open.spotify.com/track/2CUoxqW5bw2WOZPExmFvk1
Love,It’ll All Come Around,Patsy Gallant,1978,
Love,Zing! Went the Strings of My Heart,Judy Garland,1939,http://open.spotify.com/track/2vIuGZHuGRqcydnsVFC7Vp
Love,Ain’t No Mountain High Enough,Marvin Gaye And Tammi Terrell,1967,http://open.spotify.com/track/77g8V7P1MkfiPXe8Rkxm7y
Love,You’re All I Need to Get By,Marvin Gaye And Tammi Terrell,1968,http://open.spotify.com/track/6L7r59rN9s4mBSxZDiElTp
Love,The Dutchman,Steve Goodman,1973,http://open.spotify.com/track/7gSXNrDpUr5mMDThxS6Y6i
Love,Let’s Get Married,Al Green,1974,
Love,Let’s Stay Together,Al Green,1971,http://open.spotify.com/track/1r5ix6rRcET3TUdnDSZ9Oo
Love,Love and Happiness,Al Green,1972,
Love,Sweet Child O’ Mine,Guns N’ Roses,1987,http://open.spotify.com/track/5HzLcjDzlykkKC0rw2R6WJ
Love,I’m Into Something Good,Herman’s Hermits,1964,http://open.spotify.com/track/5tYLgBIbx3YVde84rRPNE9
Love,How Will I Know,Whitney Houston,1985,http://open.spotify.com/track/0xd9xioBzvbJ0KsqFUE1ob
Love,I’m So in Love,Leroy Hutson,1973,http://open.spotify.com/track/7yLQMOBHYEkFkFQcEoNEpR
Love,I’m So Proud,The Impressions,1964,http://open.spotify.com/track/6mLycrS3LfCUERnOWm8luW
Love,Night Nurse,Gregory Isaacs,1982,http://open.spotify.com/track/2lPfcRMRLffiBTwLA9S8Vc
Love,Summer Breeze,The Isley Brothers,1973,http://open.spotify.com/track/5tECQN3UPXULg4nzgkXM9r
Love,Are You Ready For Love,Elton John,1979,http://open.spotify.com/track/6TNHLD7QyX5KxdYmNwwDA6
Love,La Vie En Rose,Grace Jones,1977,http://open.spotify.com/track/50SLOKltoko04YawlAjDeH
Love,No One,Alicia Keys,2007,http://open.spotify.com/track/1exNQxJp0tHfKe85qUpRJF
Love,Stand By Me,Ben E King,1961,http://open.spotify.com/track/2FVHVmsUOyNnhlwtFLjoMF
Love,You Really Got Me,The Kinks,1964,http://open.spotify.com/track/0yjEOL4g41q4rAqoguFF0s
Love,Constant Craving,KD Lang,1992,http://open.spotify.com/track/77NdXr1ANwNkMEtgBNS2ZD
Love,Elusive Butterfly,Bob Lind,1966,http://open.spotify.com/track/226EXK5tPVsqaZ2y9RACR0
Love,Is This Love?,Bob Marley,1978,http://open.spotify.com/track/6wwxa6n8kSf3Bd0apxe0iy
Love,My Love,Paul McCartney and Wings,1973,http://open.spotify.com/track/5SL1Vx2h1ULwp1EKYKp1UN
Love,90% of Me is You,Gwen McRae,1974,http://open.spotify.com/track/4dz8fFVtr8dPMqGThk5Cbs
Love,Angel of the Morning,Merrilee and the Turnabouts,1968,
Love,Can’t Get You Out of My Head,Kylie Minogue,2001,http://open.spotify.com/track/2HpWHLtZldOcDn5qzX8kb2
Love,Help Me,Joni Mitchell,1974,http://open.spotify.com/track/4gvV5Ib89fiwMtQ4biQQjd
Love,Madame George,Van Morrison,1968,http://open.spotify.com/track/0XGw1JFG1kE6rFi4rtvs7w
Love,You’ve Got a Friend,Randy Newman,1995,http://open.spotify.com/track/2O8YJmOg9lOgn5JNHF9Qi9
Love,"Oh, Pretty Woman",Roy Orbison,1964,http://open.spotify.com/track/2DGXmZPZ07HnWkFj3AayR0
Love,Puppy Love,Donny Osmond,1972,http://open.spotify.com/track/3ABtW1kSCzKlJGGDYFH7GV
Love,She,Gram Parsons,1973,http://open.spotify.com/track/0ik33iwk2do6Rf9rQs7e8X
Love,I Will Always Love You,Dolly Parton,1974,http://open.spotify.com/track/1n3q9eF2qqOaWHBBQHLRXw
Love,I’m in Love,Wilson Pickett,1967,http://open.spotify.com/track/4QDK12L3s53JECMOhx3mdh
Love,She is Beyond Good and Evil,The Pop Group,1979,http://open.spotify.com/track/2A99HGtYXdCZKYrvPqzA6v
Love,"Let’s Do It, Let’s Fall in Love",Cole Porter,1928,
Love,Can’t Help Falling in Love,Elvis Presley,1961,http://open.spotify.com/track/3Aw5RpV5q1zn66ck2jOQjs
Love,Love Me Tender,Elvis Presley,1956,http://open.spotify.com/track/65An7RQuVbAipQIYhJu0YJ
Love,I’ll Stand By You,The Pretenders,1994,http://open.spotify.com/track/2bFG1ywgBAyZbJGMApTPfJ
Love,That Old Black Magic,Louis Prima and Keely Smith ,1959,http://open.spotify.com/track/0e7LFGPufvU4ITix9vNSuc
Love,Let’s Get Married,The Proclaimers,1994,http://open.spotify.com/track/3P7bVGMkeVSJBOqQXPNJit
Love,You’re My Best Friend,Queen,1975,http://open.spotify.com/track/0WMmdTiZrDkObaABU7mylW
Love,Kehma Hi Kya,A R Rahman,1995,
Love,Unchained Melody,The Righteous Brothers,1965,http://open.spotify.com/track/2ACjOtICHXrAlP3ijVMSvb
Love,Umbrella,Rihanna,2007,http://open.spotify.com/track/0dOAByk7pJESaNScxIr5wI
Love,You’ve Really Got a Hold On Me,Smokey Robinson and the Miracles,1962,http://open.spotify.com/track/7oLlI6vGHjjFfLkq0fq89A
Love,Be My Baby,The Ronettes,1963,http://open.spotify.com/track/0eXzLs2mOlkZXeftGN0SNH
Love,Valerie,Mark Ronson featuring Amy Winehouse,2007,http://open.spotify.com/track/6wrRgHFLe5RgQLBVbnqCCe
Love,I Saw the Light,Todd Rundgren,1972,http://open.spotify.com/track/2QNMAvCnpIN6P43f8HPKp1
Love,Leader of the Pack,The Shangri-Las,1964,http://open.spotify.com/track/7rwBWEQ6APQBQ5sFDOytDb
Love,Will You Love Me Tomorrow?,The Shirelles,1961,http://open.spotify.com/track/5SqfqdRQBq3JttB5Nh08H2
Love,Bridge Over Troubled Water,Simon and Garfunkel,1970,http://open.spotify.com/track/1eAVDtuGhk1lVVjMbmFvsi
Love,Fly Me to the Moon,Frank Sinatra,1966,http://open.spotify.com/track/09ityNOMUHKZ1sldYGWRCk
Love,Get Me to the Church On Time,Frank Sinatra,1966,
Love,Love and Marriage,Frank Sinatra,1955,http://open.spotify.com/track/16y88kDkX8kgzFHMnXr33D
Love,True Love Travels on a Gravel Road,Percy Sledge,1969,http://open.spotify.com/track/38r31rrb3wYnNPa3TCn4Mn
Love,It Must Be Love,Labi Siffre,1971,http://open.spotify.com/track/2kLNtPuucbm4kPhzWpuOOM
Love,Frederick,Patti Smith,1979,http://open.spotify.com/track/7AXFxcR4QfoTPaWinYCFB3
Love,There is a Light That Never Goes Out,The Smiths,1986,
Love,I Got You Babe,Sonny and Cher,1965,http://open.spotify.com/track/4TbuzNasQqnKJc3bJdZ0wZ
Love,You Gotta Come a Little Closer,Soul Brothers Six,1973,
Love,Wannabe,The Spice Girls,1996,http://open.spotify.com/track/1Je1IMUlBXcx1Fz0WE7oPT
Love,I’ll Be Around,The Spinners,1972,http://open.spotify.com/track/2vLaES21zwbX1Rnmj56Bbb
Love,Mandolin Wind,Rod Stewart,1971,http://open.spotify.com/track/2YIJ6PXSWgwo25sE9eIzuU
Love,She Bangs the Drums,The Stone Roses,1989,http://open.spotify.com/track/5b6sFRZWMfcunej0zWE28r
Love,I Feel Love ,Donna Summer,1977,http://open.spotify.com/track/6efRrfjV1YW1rtecLUHoP1
Love,Baby Love,The Supremes,1964,http://open.spotify.com/track/5uM9zdUz8PpYJME9wZCM4W
Love,Stoned Love,The Supremes,1970,
Love,You Can’t Hurry Love,The Supremes,1966,http://open.spotify.com/track/046ZhBbIMSnG3UXHXJD1cy
Love,Why Do Fools Fall in Love?,The Teenagers featuring Frankie Lymon,1956,http://open.spotify.com/track/2xKfXRhw5xaUXfevJJspZf
Love,My Girl,The Temptations,1964,http://open.spotify.com/track/0651FOAfvX33QIjpYL4F95
Love,Gloria,Them,1964,http://open.spotify.com/track/4VS4B6BjBK6liTPCf8O4aJ
Love,Here Comes the Night,Them/Van Morrison,1965,http://open.spotify.com/track/7knFQrGf88XnKjgyGrB70p
Love,"River Deep, Mountain High",Ike and Tina Turner,1966,http://open.spotify.com/track/4psjgB5e5HIuUeSVbEUY64
Love,Terry,Twinkle,1964,
Love,Mad About the Boy,Dinah Washington,1952,http://open.spotify.com/track/3q393Yh4k0cu2wlTgyiW4v
Love,Wichita Linesman,Jimmy Webb,1968,http://open.spotify.com/track/4LKUWvk6kQDJSTkxP6TUYN
Love,You Do Something to Me,Paul Weller,1995,http://open.spotify.com/track/0qWQxgHDjlE1kcLP0SHkRK
Love,Music to Watch Girls By,Andy Williams,1967,http://open.spotify.com/track/5khJtAAIdaXwr3ZsQvvVv4
Love,Do I Love You (Indeed I Do),Frank Wilson,1966,http://open.spotify.com/track/6QtbZ4rI3fJRufeNyi19Nd
Love,Lean on Me,Bill Withers,1972,http://open.spotify.com/track/4IXTOcB1eMoE7dkBs6oRHr
Love,Like a Hurricane,Neil Young,1977,http://open.spotify.com/track/1756tFft3p2hTUBzg9bKdQ
Love,Only Love Can Break Your Heart,Neil Young,1970,http://open.spotify.com/track/3nQBejgpXbSdWpJsXKYWye
Heartbreak,Tears Are Not Enough,ABC,1981,http://open.spotify.com/track/1DsmvwImEiDU0tLMOvOJZD
Heartbreak,The Winner Takes It All,Abba,1980,http://open.spotify.com/track/1g1RLXmuXu7HpMA6gmiYve
Heartbreak,Call Me on Your Way Back Home,Ryan Adams,2000,
Heartbreak,Never Ever,All Saints,1997,http://open.spotify.com/track/7ziHnshbknkpFLDW5yGBjO
Heartbreak,Please Give Me Something,Bill Allen and the Backbeats,1958,http://open.spotify.com/track/66auDFwg9lKmIYGQzEwHn5
Heartbreak,Without You,Badfinger,1970,http://open.spotify.com/track/5GFV9C9D7EztSc0bMzF9ss
Heartbreak,Diamonds and Rust,Joan Baez,1975,http://open.spotify.com/track/5lZ4Dm9BBGcCBVbfzxnyCX
Heartbreak,You’ve Got to Hide Your Love Away,The Beatles,1965,
Heartbreak,The Boy Done Wrong Again,Belle and Sebastian,1996,http://open.spotify.com/track/4lNs7YerSrW3dxxWHDRSIs
Heartbreak,Heart of Glass,Blondie,1978,http://open.spotify.com/track/0a4agFmqHXxcZl1nho1BxM
Heartbreak,One Way Or Another,Blondie,1979,http://open.spotify.com/track/5Q7cE6wGHMehLFo2ppkk5D
Heartbreak,Flume,Bon Iver,2008,http://open.spotify.com/track/6WlS5FP9XcB410zta3C67v
Heartbreak,Bed is For Sleeping,Bonnie ‘Prince’ Billy and Matt Sweeney,2005,
Heartbreak,Letter to Hermione,David Bowie,1969,http://open.spotify.com/track/13YcDQxaOktczzQBliAISJ
Heartbreak,Repetition,David Bowie,1979,http://open.spotify.com/track/6Q4S1KWuAg082DHm6BsazJ
Heartbreak,He Wasn’t Man Enough ,Toni Braxton,2000,http://open.spotify.com/track/2uHlwcSyNpekOl9EybwVaU
Heartbreak,Lua,Bright Eyes,2005,http://open.spotify.com/track/5bGoxCHvVavcFeQnI6NvUz
Heartbreak,Ever Fallen in Love (With Someone You Shouldn’t’ve),Buzzcocks,1978,http://open.spotify.com/track/4JXtIl8MKQT9Q7XkVvWV2I
Heartbreak,I Still Miss Someone,Johnny Cash,1959,http://open.spotify.com/track/17ULcItopPiilP1gIPrJvR
Heartbreak,Far From Me,Nick Cave,1997,http://open.spotify.com/track/6CjDPROOVDYN4v1JuidAJE
Heartbreak,Where Were You,Vic Chesnutt,1991,
Heartbreak,Since U Been Gone,Kelly Clarkson,2004,http://open.spotify.com/track/07r3phrnaEUfoaauHHQXj6
Heartbreak,Should I Stay Or Should I Go,The Clash,1982,http://open.spotify.com/track/0uwXVXNfzPJtpv3iCBAgDD
Heartbreak,Crazy,Patsy Cline,1961,http://open.spotify.com/track/32EaJ4sUH4GrGfXulPltIi
Heartbreak,"So Long, Marianne",Leonard Cohen,1967,http://open.spotify.com/track/75uA4upcHXXxVfaY9eYdSK
Heartbreak,The Scientist,Coldplay,2002,http://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
Heartbreak,Against All Odds (Take a Look at Me Now),Phil Collins,1984,http://open.spotify.com/track/5b6vClAj7N7VFLXEso3hEY
Heartbreak,Don’t Leave Me This Way,The Communards,1986,http://open.spotify.com/track/6G27JoyRv8Ly085NkPIRWB
Heartbreak,Either Side of the Same Town,Elvis Costello ,2004,http://open.spotify.com/track/1TDyLMqyVcFnN4Gwb2Lk25
Heartbreak,I Hope You’re Happy Now,Elvis Costello and the Attractions,1986,http://open.spotify.com/track/0lJeIRRrwRmnkRWpjai96c
Heartbreak,I Want You,Elvis Costello and the Attractions,1986,http://open.spotify.com/track/4LBnvKaSC9RqnFYA0LDIGt
Heartbreak,He Hit Me (And it Felt Like a Kiss),The Crystals,1962,
Heartbreak,Disintegration,The Cure,1989,http://open.spotify.com/track/65QOLZaDsPoJp6nDi7Ln4l
Heartbreak,Katie Cruel,Karen Dalton,1971,
Heartbreak,Layla,Derek and the Dominos,1970,http://open.spotify.com/track/1KDsONFxp3YtnJTaLeWFIi
Heartbreak,Warwick Avenue,Duffy ,2008,http://open.spotify.com/track/5Og47k4AHrotP2QP36p5iO
Heartbreak,"Don’t Think Twice, It’s All Right",Bob Dylan,1963,http://open.spotify.com/track/0K9nDgwZnLpg8FFG732fcU
Heartbreak,Idiot Wind,Bob Dylan,1975,http://open.spotify.com/track/6M4ch4i9qn5uWVrEeMGn9i
Heartbreak,"If You See Her, Say Hello",Bob Dylan,1975,http://open.spotify.com/track/16M0VBfpUnVkUfKknW1gar
Heartbreak,Just Like a Woman,Bob Dylan,1966,http://open.spotify.com/track/6M5KL0LxCvXGr3j2mN4wE1
Heartbreak,She’s Your Lover Now,Bob Dylan,1966,http://open.spotify.com/track/0TUtCqkeaNlR71xerbm6Xo
Heartbreak,Tangled up in Blue,Bob Dylan,1975,http://open.spotify.com/track/3fSmfeHzyp33FHpVKqavaw
Heartbreak,Brown Skin Woman,Snooks Eaglin,1962,http://open.spotify.com/track/2wiwvZFyUOsqGZYlh0tffe
Heartbreak,Goodbye,Steve Earle,1996,
Heartbreak,The Killing Moon,Echo and the Bunnymen,1984,http://open.spotify.com/track/15049rGLXHwrWtE4euUb5C
Heartbreak,My Very Best,Elbow,2006,
Heartbreak,Missing (Todd Terry remix),Everything But the Girl,1995,http://open.spotify.com/track/0Y11QzoiLpdhPHAFcSJH9i
Heartbreak,Why’d Ya Do It?,Marianne Faithfull,1979,http://open.spotify.com/track/1XZLci5bjgHM5LC1Xs1cQe
Heartbreak,Go Your Own Way,Fleetwood Mac,1977,http://open.spotify.com/track/5qg6DB7nxilzxxzalcpNU3
Heartbreak,Emily,Stephen Fretwell,2004,http://open.spotify.com/track/3xC8ffyrb46M2xoyiAZijA
Heartbreak,I Heard it Through the Grapevine,Marvin Gaye,1967,http://open.spotify.com/track/27m1soUndRthrAA1ediOXn
Heartbreak,I Will Survive,Gloria Gaynor,1978,http://open.spotify.com/track/1lBbC5ez7W0VgrRGGeybTY
Heartbreak,Daddy’s Gone,Glasvegas,2007,http://open.spotify.com/track/5Xkht48NOI9eirHjY7d87I
Heartbreak,It’s My Party,Lesley Gore,1963,http://open.spotify.com/track/4sR3U7qQAai4CI0q4zHlRW
Heartbreak,How Can You Mend a Broken Heart ,Al Green,1972,
Heartbreak,She’s Gone,Halls and Oates,1973,
Heartbreak,Weightless Again,The Handsome Family,1998,
Heartbreak,Christine,The House of Love,1988,
Heartbreak,Don’t You Want Me?,The Human League,1981,http://open.spotify.com/track/5lmYpa6EaVAKAlwxMf7q5c
Heartbreak,I Want You Back,The Jackson 5,1970,http://open.spotify.com/track/2nPXRL8SX00vl9zeQHMSQp
Heartbreak,Is She Really Going Out With Him?,Joe Jackson,1978,http://open.spotify.com/track/3P97XnD4osOqR4lRPalNPV
Heartbreak,I’d Rather Go Blind,Etta James,1969,http://open.spotify.com/track/2xxX1FmYQk7P0I5stRyNsT
Heartbreak,Devil Got My Woman,Skip James,1931,http://open.spotify.com/track/0PIFpAuiiowI88mPS6KYsj
Heartbreak,Some Things Last a Long Time,Daniel Johnston,1990,
Heartbreak,I Guess That’s Why They Call it the Blues,Elton John,1983,http://open.spotify.com/track/4mno8GjYUVPW8rNgJsWLx6
Heartbreak,Tainted Love,Gloria Jones,1964,
Heartbreak,Delilah,Tom Jones,1968,http://open.spotify.com/track/0hK0cOpYF3cLB49VbMa7AV
Heartbreak,Piece of My Heart,Janis Joplin and Big Brother and the Holding Company,1968,http://open.spotify.com/track/3zfJeCCx1uDHzPNReiGqS6
Heartbreak,Love Will Tear Us Apart,Joy Division,1980,http://open.spotify.com/track/2JO3HwMRPeya8bXbtbyPcf
Heartbreak,Caught Out There,Kelis,1999,http://open.spotify.com/track/6UJbhZER5yrbaAG66rrr4Z
Heartbreak,You Don’t Know My Name,Alicia Keys,2003,http://open.spotify.com/track/212BdBPNXcHSPyKtXMiiFF
Heartbreak,Mr Brightside,The Killers,2003,http://open.spotify.com/track/4ZefAE6wZ6BEATniPk4DWI
Heartbreak,The Thrill is Gone,BB King,1969,http://open.spotify.com/track/2l9eWSE3Tupp0ArEDo45eB
Heartbreak,It’s Too Late,Carole King,1971,http://open.spotify.com/track/5bl6wYKQnPmHYO7DbF1mg7
Heartbreak,Lola,The Kinks,1970,http://open.spotify.com/track/191w1gNvwUI55Pk6PcVvMx
Heartbreak,Let Me Down Easy,Bettye LaVette,1965,http://open.spotify.com/track/0MvsfFXD0XkeOcPUOO5XaH
Heartbreak,Jealous Guy,John Lennon,1971,
Heartbreak,Bleeding Love,Leona Lewis,2007,http://open.spotify.com/track/6LtPIXlIzPOTF8vTecYjRe
Heartbreak,Crazy For You,Madonna,1985,http://open.spotify.com/track/6idFcUh2Gc8wdtwuR0sfFN
Heartbreak,Yes,McAlmont and Butler,1995,http://open.spotify.com/track/6joAGL5IuD66Qgcz049ObW
Heartbreak,It’s All in the Game,Van Morrison,1979,http://open.spotify.com/track/4LPR6jSlFTTHavQVaYLfXR
Heartbreak,"The More You Ignore Me, The Closer I Get",Morrissey,1994,http://open.spotify.com/track/2ljH5Nxub9QIJ1WE1hsVU3
Heartbreak,No Children,The Mountain Goats,2003,http://open.spotify.com/track/6KyyTheVmJZsNdqwOj0MR3
Heartbreak,Blue Monday,New Order,1983,http://open.spotify.com/track/6cxLRWPZQ6dmb0lJ5Ph8Tu
Heartbreak,Nothing Compares 2 U,Sinead O’Connor,1990,http://open.spotify.com/track/07iHAswcApphvyllRDQrEa
Heartbreak,To Cry About,Mary Margaret O’Hara,1988,
Heartbreak,Crying,Roy Orbison,1961,http://open.spotify.com/track/3oVeLS6WNWf7tAGev4Y6vM
Heartbreak,Love Hurts,Gram Parsons with Emmylou Harris,1974,http://open.spotify.com/track/51sT9Y2lXJocjVUhA5NFK1
Heartbreak,"$1,000 Wedding",Gram Parsons,1974,http://open.spotify.com/track/53egTlbVDqNH2SRmZTknrC
Heartbreak,Jolene,Dolly Parton,1973,http://open.spotify.com/track/5fdhThPDe6jQQDqCyWrdAn
Heartbreak,It Was Jealousy,Ann Peebles,1976,
Sex,Let’s Talk About Sex,Salt-n-Pepa,1990,
Heartbreak,Ur So Gay,Katy Perry,2007,http://open.spotify.com/track/5monag19nA467DCEUmE7Lq
Heartbreak,Divorce Song,Liz Phair,1993,
Heartbreak,Can’t Stand Losing You,The Police,1978,http://open.spotify.com/track/1VKbWRpwV2XXSJSZ2w534h
Heartbreak,Every Breath You Take,The Police,1983,http://open.spotify.com/track/0A4Btqar6Y5B4hfs9pZnSE
Heartbreak,Always on My Mind,Elvis Presley,1972,http://open.spotify.com/track/7mm18MJI4UpSS2IfsId0qB
Heartbreak,Suspicious Minds,Elvis Presley,1969,http://open.spotify.com/track/21uqk0VElbm5bxCNTR3E6M
Heartbreak,Beware of Young Girls,Dory Previn,1970,http://open.spotify.com/track/6G73YaSHMs0tP2gCNvSnjE
Heartbreak,When Doves Cry,Prince,1984,http://open.spotify.com/track/5OLaGD9QaSn2pRmBr6hYqb
Heartbreak,Jaan Pehechaan Ho,Mohammed Rafi,1965,http://open.spotify.com/track/6o1fs0vkkFGT8lSkMAXe1o
Heartbreak,Sad Song,Lou Reed,1973,
Heartbreak,Everybody Hurts,REM,1992,http://open.spotify.com/track/28AZM08WStiEXfqN065BvN
Heartbreak,The One I Love,REM,1987,http://open.spotify.com/track/3k5BXtsudQFynAlzYIzCgF
Heartbreak,You’ve Lost That Lovin’ Feelin’,The Righteous Brothers,1964,http://open.spotify.com/track/4Y7jrcaXsSFyf5g4YLcAaB
Heartbreak,Stupid Girl,The Rolling Stones,1966,http://open.spotify.com/track/1jlF5p7TTVhT1pvk1jdxZz
Heartbreak,Under My Thumb,The Rolling Stones,1966,http://open.spotify.com/track/4H5hI3u6LmIRlXnWR89opX
Heartbreak,(The Best Part of) Breakin’ Up,The Ronettes,1964,
Heartbreak,What Becomes of the Broken Hearted,Jimmy Ruffin,1966,http://open.spotify.com/track/019nGMMof2yYp0zIdnbxSV
Heartbreak,A Little Lost,Arthur Russell,1994,
Heartbreak,Nobody Does it Better,Carly Simon,1977,http://open.spotify.com/track/240vi0Gt8ZOdPwC1PbzfUJ
Heartbreak,You’re So Vain,Carly Simon,1972,http://open.spotify.com/track/46aRTYYXkN8ok6fnv9ljvr
Heartbreak,50 Ways to Leave Your Lover,Paul Simon,1975,http://open.spotify.com/track/2VrS8weZmIHO4LtRQibMvJ
Heartbreak,Only the Lonely,Frank Sinatra,1958,http://open.spotify.com/track/3il33mhbtAFCpdBNvNyymr
Heartbreak,All Or Nothing,The Small Faces,1966,http://open.spotify.com/track/3NkE5aI8aPPnoG8w2xBwNF
Heartbreak,I Know It’s Over,The Smiths,1986,
Heartbreak,"Please, Please, Please Let Me Get What I Want",The Smiths,1984,
